sensor,mean_delta_lr_acc,mean_delta_silhouette,num_dx
android.sensor.magnetic_field,0.1533,0.0536,3
android.sensor.game_rotation_vector,0.1203,-0.0264,3
android.sensor.orientation,0.0858,-0.0098,3
android.sensor.rotation_vector,0.0820,0.0380,3
android.sensor.light,0.0697,0.1376,3
android.sensor.magnetic_field_uncalibrated,0.0605,0.0151,3
android.sensor.gyroscope_uncalibrated,0.0529,0.0215,3
android.sensor.linear_acceleration,0.0467,-0.1122,3
android.sensor.accelerometer,0.0299,-0.1116,3
android.sensor.gravity,0.0245,0.0190,3
android.sensor.gyroscope,0.0130,-0.0444,3
