sensor,mean_delta_lr_acc,mean_delta_silhouette,num_dx
android.sensor.accelerometer,0.0741,-0.0022,3
android.sensor.game_rotation_vector,0.0000,0.0000,3
android.sensor.gravity,0.0000,0.0000,3
android.sensor.gyroscope,0.0000,0.0000,3
android.sensor.gyroscope_uncalibrated,0.0000,0.0000,3
android.sensor.linear_acceleration,0.0000,0.0000,3
android.sensor.magnetic_field,0.0000,0.0000,3
android.sensor.magnetic_field_uncalibrated,0.0000,0.0000,3
android.sensor.orientation,0.0000,0.0000,3
android.sensor.rotation_vector,0.0000,0.0000,3
android.sensor.light,-0.0021,-0.0829,3
