sensor,dx,silhouette_baseline,silhouette_with_it,lr_acc_baseline,lr_acc_with_it
android.sensor.gravity,3,-0.1241042879288695,-0.1420159980154935,0.2007112375533428,0.29630156472261737
android.sensor.gravity,4,-0.10369657987345576,-0.12284589421916746,0.28079658605974395,0.27553342816500714
android.sensor.gravity,5,-0.10560230678397807,-0.1054500569666804,0.3069701280227596,0.3176386913229018
