sensor,mean_delta_lr_acc,mean_delta_silhouette,num_dx
android.sensor.magnetic_field_uncalibrated,0.2425,0.2084,3
android.sensor.accelerometer,0.0956,0.0764,3
android.sensor.gyroscope,0.0530,0.0504,3
android.sensor.linear_acceleration,0.0145,-0.0384,3
android.sensor.gravity,0.0032,-0.0092,3
android.sensor.gyroscope_uncalibrated,0.0000,0.0384,3
android.sensor.light,0.0000,-0.0000,3
android.sensor.orientation,0.0000,-0.0228,3
android.sensor.magnetic_field,-0.0015,-0.0543,3
android.sensor.rotation_vector,-0.0048,0.0033,3
android.sensor.game_rotation_vector,-0.0417,-0.0017,3
